GRUPO,LINK
NOC IPCCL1 PROACTIVOS,https://chat.whatsapp.com/CNdAkgYqyKs97p59n0OtrL
EVENTOS MOVISTAR,https://chat.whatsapp.com/4ziaxtIQUYNCQZ4LoJQOpX
Soporte Telconet-Nedetel,https://chat.whatsapp.com/LFNZw2BB7FhFPnXX0fCAS4
IPCCL1 - IPCCL2UIO- NOC,https://chat.whatsapp.com/JCr97Hq1TNPBpGxUqikRdj
BACKBONE NACIONAL,https://chat.whatsapp.com/7koG2vVdlTmDYsheWfyVMf
EVENTOS NETLIFE,https://chat.whatsapp.com/JoAnVYyXOLM8YJNJwXDdtm
Banco Machala – Telconet,https://chat.whatsapp.com/BjngCUgCmQW4qExepq9JYT
BGYE-TELCONET – CAJEROS,https://chat.whatsapp.com/HowXckufAZf15b4VmDMtZg
NOC – NETWORKING,https://chat.whatsapp.com/DMqbvqQ2pKs4dwTsFigoDi
CTO Servicio Corporativo,https://chat.whatsapp.com/IrkWoy3ddGR7kUMXB8yatu
GrupoCoop. CREA TELCONET,https://chat.whatsapp.com/Keby7caSqEA95UxvFt934o
NOC-GIS,https://chat.whatsapp.com/H75tsPMViU0Lq0OjRXHtzJ
Sweet&Coffee - Soporte Co,https://chat.whatsapp.com/Hp6EtTu2RcTDCHfzQ7cU0q
BanInter Soporte Telconet,https://chat.whatsapp.com/JVhGs2XOTeZ507Vf9SqxM4
Nirsa-Telco-Soporte,https://chat.whatsapp.com/ECcPHVdXqVYGbOmRDrFrhu
Telco - Banco Guayaquil,https://chat.whatsapp.com/L9PquzCKeK4EhjVjccEnxI
BPAC – TELCONET,https://chat.whatsapp.com/I18drhSg7Gj0pIzrUzslx7
Soporte Fibra  / NOC,https://chat.whatsapp.com/Gf6QXcupH6k3fo46bZsvnn
SOPORTE UPCs-2020,https://chat.whatsapp.com/IB6CjY9789PEf4OMUiRiFz
Soporte Com. General,https://chat.whatsapp.com/GYzbOhxI2pS7XuQGtrgrrL
SOPORTE-COMPRIFARM,https://chat.whatsapp.com/E7OaxDBDIHU2i8HRoa9S98
DEL BANK - DELGADO TRAVEL,https://chat.whatsapp.com/JCjYUi6q85gChBaG98NhGl
PROYECTO VDI,https://chat.whatsapp.com/G86fC5RazeOJ2Rul4W4lNL
Soporte Produbanco,https://chat.whatsapp.com/0vLudiuPd7mHJu8mKBoOJo
CEDIA - TELCONET R1,https://chat.whatsapp.com/Lkucd3H03JAGcyu9gXC7rf
SGS -TELCONET,https://chat.whatsapp.com/DnIN5o8UH5rAhYtLPNzked
CEDIA -TELCONET R2,https://chat.whatsapp.com/JrXh1vPlPrN8IMvrybPE4x
Ripconciv - GeoForce -Urb,https://chat.whatsapp.com/GeLsqAqecmGG0kr3IWLgJi
TN GT NOC,https://chat.whatsapp.com/FRTP0tU0oxALP5cBPAy5dm
Scvs – Telconet,https://chat.whatsapp.com/EqwaEuc6LiZ4XX8svHKY0i
Soporte Sukasa – Telconet,https://chat.whatsapp.com/K8IMhBe8Hzp76wZnmHZ7ge
GrupoSabrofruitNeGoglobal,https://chat.whatsapp.com/GAlzLA9EKI2HqIAtgPYxPK
NOC TELCONET,https://chat.whatsapp.com/FLgxbTxCA4D4JB8Ey1baOv
NOC – OTN,https://chat.whatsapp.com/BRlc0ontHsdIPQqoLt3wrl
Soporte Loteria Nacional,https://chat.whatsapp.com/DCbfyjIkSDqFtLgLLRwJ2Q
Soporte Panama Telconet,https://chat.whatsapp.com/K7B8YqWbdKUDEPyCG3mTuU
NOC-IPCCL1 BACKBONE,https://chat.whatsapp.com/ITWsXrTBDhy4YXSgeOfwYE
Bco Bolivariano-Telconet,https://chat.whatsapp.com/DXTWzzxk2jg7dR2Bas9fCi
Soporte Pycca - Telconet,https://chat.whatsapp.com/CmsA6uI2cKB2oetNLyqVhb
Monitoreo CSCG,https://chat.whatsapp.com/HU7uJ8DfG49J3ZUHANRGot
OPU UIO / NOC,https://chat.whatsapp.com/FCAHtZGyBDJ5p4ZqjhsiPm
OPU GYE / NOC,https://chat.whatsapp.com/Hx84JH25WGiGOYy8dVFhId
ELECTRICOS GYE - NOC,https://chat.whatsapp.com/FcTYyCl09uRI9f2WPvcJph
ELECTRICOS UIO - NOC,https://chat.whatsapp.com/JcjjBVHkbjf0p10xG9NN1s
SOPORTE NOC - DESARROLLO,https://chat.whatsapp.com/KPfoj8Nol0Z5uVQVjWaLhC
Ts Cuenca - NOC,https://chat.whatsapp.com/CywcBqjgkVH35GZ9yRpWeX
TN - GAD DAULE,https://chat.whatsapp.com/C4s8bBcPkxV9rsCqVbgNK8
Soporte Telco IA&Veolia,https://chat.whatsapp.com/DpjzNlXPmCL4vjFg6fRlan
SOPORTE UG,https://chat.whatsapp.com/Hggfj0E4EVA1CZHU3n6tZZ
Soporte Dipaso - Telconet,https://chat.whatsapp.com/I2e9n87m4BW6gfnPIwPbb4
Notificaciones Backbone Ts Esmeraldas,https://chat.whatsapp.com/DUgSEyCorIo0AbE8zKoy9q
Soporte - Las Fragancias,https://chat.whatsapp.com/Cb23OIKYTdNFermbJEKJYS
Soporte - Coop. JEP,https://chat.whatsapp.com/DChrqFMrYNwG4FnaFAfSCu
Soporte Telconet - Zaimella,https://chat.whatsapp.com/EqWJqxnWFrWAsEt4ENeTjA
